id,nombreOriginal,nombreEspañol,descripcion,clinicaTratante,imagen,especialistasTratan,createdAt,updatedAt
11,Common Cold,Resfriado común,El resfriado común es una infección viral del tracto respiratorio superior que causa síntomas como congestión nasal y estornudos.,1,https://blog.aegon.es/wp-content/uploads/2019/12/como-curar-un-resfriado.jpg,{9},"2024-06-06T00:00:00Z","2024-06-06T00:00:00Z"
12,Dengue,Dengue,El dengue es una enfermedad viral transmitida por mosquitos que causa fiebre alta dolores musculares y erupción cutánea.,1,https://msaludsgo.gov.ar/web/wp-content/uploads/2024/03/dengue-ok-focus-0-0-1098-747.jpg,"{1,9}","2024-06-06T00:00:00Z","2024-06-06T00:00:00Z"
13,Diabetes,Diabetes,La diabetes es una enfermedad crónica que afecta la forma en que el cuerpo procesa la glucosa en sangre.,5,https://bioems.es/wp-content/uploads/2023/06/diabetes-1.jpeg,{5},"2024-06-06T00:00:00Z","2024-06-06T00:00:00Z"
14,Dimorphic hemmorhoids(piles),Hemorroides dimorfas (almorranas),Las hemorroides son venas hinchadas en el ano y el recto que pueden causar dolor picazón y sangrado.,3,https://www.mdsaude.com/wp-content/uploads/hemorroidas-fotos-imagem-1200x900.jpg,"{11,12}","2024-06-06T00:00:00Z","2024-06-06T00:00:00Z"
15,Drug Reaction,Reacción a medicamentos,Una reacción a medicamentos es una respuesta no deseada a un medicamento que se toma en dosis normal.,5,https://statics-cuidateplus.marca.com/cms/styles/natural/azblob/2022-06/pastillas-dolor.jpg.webp?itok=tYAN79xS,{13},"2024-06-06T00:00:00Z","2024-06-06T00:00:00Z"
16,Fungal infection,Infección fúngica,Una infección fúngica es una infección causada por hongos que pueden afectar la piel las uñas o los órganos internos.,2,https://stronglify-1.s3.sa-east-1.amazonaws.com/farmadodo/Hongos-En-La-Piel-Conoce-todo-sobre-las-infecciones-Fungicas.png,{2},"2024-06-06T00:00:00Z","2024-06-06T00:00:00Z"
17,GERD,GERD,El reflujo gastroesofágico (GERD) es una enfermedad crónica en la que el ácido estomacal regresa al esófago causando síntomas como acidez estomacal y regurgitación.,3,https://www.laintegrativegi.com/wp-content/uploads/2020/03/gerd.jpg,{3},"2024-06-06T00:00:00Z","2024-06-06T00:00:00Z"
18,Gastroenteritis,Gastroenteritis,La gastroenteritis es una inflamación del tracto gastrointestinal que causa síntomas como vómitos diarrea y dolor abdominal.,3,https://medicoplus.com/_next/image?url=https%3A%2F%2Fplustatic.com%2F1699%2Fconversions%2Fgastroenteritis-large.jpg&w=1280&q=75,"{3,9}","2024-06-06T00:00:00Z","2024-06-06T00:00:00Z"
19,Heart attack,Ataque cardíaco,Un ataque cardíaco ocurre cuando el flujo sanguíneo al corazón se bloquea lo que puede causar daño al músculo cardíaco.,6,https://fotografias-compromiso.atresmedia.com/clipping/cmsimages02/2014/12/11/3E0B9241-19FE-483C-9703-04CF6CD74070/58.jpg,{6},"2024-06-06T00:00:00Z","2024-06-06T00:00:00Z"
20,Hepatitis B,Hepatitis B,La hepatitis B es una infección viral del hígado que puede causar enfermedad aguda o crónica.,4,https://www.misistemainmune.es/wp-content/uploads/2017/07/AdobeStock_199807962-scaled.jpeg,"{1,4}","2024-06-06T00:00:00Z","2024-06-06T00:00:00Z"
21,Hepatitis C,Hepatitis C,La hepatitis C es una infección viral del hígado que puede causar enfermedad aguda o crónica.,4,https://www.elfinanciero.com.mx/resizer/MS-ywQ6_IZAqe6leFf6NIlw3bU0=/1200x630/filters:format(jpg):quality(70)/cloudfront-us-east-1.images.arcpublishing.com/elfinanciero/NBCNOEBSW5B3HN7LHBMQHX5V4E.jpg,"{1,4}","2024-06-06T00:00:00Z","2024-06-06T00:00:00Z"
22,Hepatitis D,Hepatitis D,La hepatitis D es una infección viral del hígado que ocurre en personas infectadas con el virus de la hepatitis B.,4,https://gacetamedica.com/wp-content/uploads/2023/11/GettyImages-1178017792-1068x687.jpg,{1},"2024-06-06T00:00:00Z","2024-06-06T00:00:00Z"
23,Hepatitis E,Hepatitis E,La hepatitis E es una infección viral que causa inflamación y daño al hígado. La inflamación es una hinchazón que ocurre cuando los tejidos del cuerpo se lesionan o infectan.,4,https://assets.medpagetoday.net/media/images/108xxx/108861.jpg?width=0.8,"{1,4}","2024-06-06T00:00:00Z","2024-06-06T00:00:00Z"
24,Hypertension,Hipertensión,La hipertensión es una condición en la que la presión arterial en las arterias es persistentemente alta.,6,https://statics-cuidateplus.marca.com/cms/styles/natural/azblob/2024-03/medida-hipertension.jpg.webp?itok=_JsHiJmv,{6},"2024-06-06T00:00:00Z","2024-06-06T00:00:00Z"
25,Hyperthyroidism,Hipertiroidismo,El hipertiroidismo es una afección en la que la glándula tiroides produce demasiada hormona tiroidea.,5,https://dreverardofernandez.com.mx/wp-content/uploads/2022/05/hipertiroidismo.jpg,{5},"2024-06-06T00:00:00Z","2024-06-06T00:00:00Z"
26,Hypoglycemia,Hipoglucemia,La hipoglucemia es una afección en la que el nivel de azúcar en sangre es anormalmente bajo.,5,https://www.webconsultas.com/sites/default/files/styles/wc_adaptive_image__small/public/temas/hipoglucemia.jpg,"{5,9}","2024-06-06T00:00:00Z","2024-06-06T00:00:00Z"
27,Hypothyroidism,Hipotiroidismo,El hipotiroidismo es una afección en la que la glándula tiroides no produce suficientes hormonas tiroideas.,5,https://staticnew-prod.topdoctors.mx/files/Image/large/9635b8c091a64c593223bb9e685dd2a2.jpg,{5},"2024-06-06T00:00:00Z","2024-06-06T00:00:00Z"
28,Impetigo,Impetigo,El impétigo es una infección bacteriana superficial de la piel que causa llagas rojas que pueden romperse formar costras y propagarse.,2,https://medlineplus.gov/images/Impetigonew_share.jpg,"{2,10}","2024-06-06T00:00:00Z","2024-06-06T00:00:00Z"
29,Jaundice,Ictericia,La ictericia es una condición en la que la piel y los ojos se ponen amarillos debido a un exceso de bilirrubina en la sangre.,4,https://staticnew-prod.topdoctors.mx/files/Image/large/479843f7ad8e06e5ad94b455d7e5107f.jpg,{4},"2024-06-06T00:00:00Z","2024-06-06T00:00:00Z"
30,Malaria,Malaria,La malaria es una enfermedad grave transmitida por mosquitos que causa fiebre alta escalofríos y síntomas gripales.,1,https://d2jx2rerrg6sh3.cloudfront.net/images/Article_Images/ImageForArticle_22209_16467383903163122.jpg,{1},"2024-06-06T00:00:00Z","2024-06-06T00:00:00Z"
31,Migraine,Migraña,La migraña es un dolor de cabeza intenso y debilitante que a menudo se acompaña de náuseas vómitos y sensibilidad a la luz y al sonido.,7,https://clinicaelgeadi.com/wp-content/uploads/2020/12/migra%C3%B1a.jpg,{7},"2024-06-06T00:00:00Z","2024-06-06T00:00:00Z"
32,Osteoarthristis,Osteoartritis,La osteoartritis es una enfermedad degenerativa de las articulaciones que causa dolor hinchazón y dificultad para mover las articulaciones afectadas.,8,https://camde.es/wp-content/uploads/2023/06/osteoartritis.jpg,{8},"2024-06-06T00:00:00Z","2024-06-06T00:00:00Z"
33,Paralysis,Parálisis,La parálisis es la pérdida de la capacidad de mover una o más partes del cuerpo.,7,https://s3.ppllstatics.com/rc/www/multimedia/2023/02/21/paralisisfacia1200840l-kdTD-U190700119327HoD-1200x840@RC.png,{7},"2024-06-06T00:00:00Z","2024-06-06T00:00:00Z"
34,Peptic ulcer disease,Enfermedad ulcerosa péptica,La enfermedad ulcerosa péptica es una afección en la que se desarrollan llagas abiertas en el revestimiento del estómago y la parte superior del intestino delgado.,3,https://medlineplus.gov/images/PepticUlcer_share.jpg,{3},"2024-06-06T00:00:00Z","2024-06-06T00:00:00Z"
35,Pneumonia,Neumonía,La neumonía es una infección que inflama los sacos de aire en uno o ambos pulmones.,1,https://www.tododiagnostico.com/wp-content/uploads/2020/02/Tipos-y-causas-de-la-neumon%C3%ADa.jpg,{9},"2024-06-06T00:00:00Z","2024-06-06T00:00:00Z"
36,Psoriasis,Psoriasis,La psoriasis es una enfermedad de la piel que causa enrojecimiento y irritación. Las personas con esta afección tienen manchas de piel gruesa roja con escamas plateadas.,2,https://aedv.fundacionpielsana.es/wp-content/uploads/2020/10/folleto-psoriasis-fps-r.jpg,{2},"2024-06-06T00:00:00Z","2024-06-06T00:00:00Z"
37,Tuberculosis,Tuberculosis,La tuberculosis es una enfermedad infecciosa que afecta principalmente los pulmones y se transmite de una persona a otra a través del aire.,1,https://www.neumoteknon.com/wp-content/uploads/2020/10/tuberculosis-instituto-de-neumologia-neumoteknon-2.jpg,{1},"2024-06-06T00:00:00Z","2024-06-06T00:00:00Z"
38,Typhoid,Febre tifoidea,La fiebre tifoidea es una enfermedad bacteriana que se propaga a través de alimentos y agua contaminados.,6,https://fenixsalud.com.ve/wp-content/uploads/2022/11/istockphoto-1325392351-612x612-1.webp,{9},"2024-06-06T00:00:00Z","2024-06-06T00:00:00Z"
39,Urinary tract infection,Infección del tracto urinario,Una infección del tracto urinario es una infección en cualquier parte del sistema urinario incluyendo los riñones la vejiga o la uretra.,7,https://elgurologia.com/wp-content/uploads/2023/05/5-1a0d9050-727c-4145-8880-dabe2302fb06.jpg,{15},"2024-06-06T00:00:00Z","2024-06-06T00:00:00Z"
40,Varicose veins,Varices,Las varices son venas hinchadas y retorcidas que se pueden ver justo debajo de la superficie de la piel. Estas se desarrollan con mayor frecuencia en las piernas y los pies.,8,https://enfermedadesvasculares.com/images/diagnosticos/varices/varices_que_es_01.png,{16},"2024-06-06T00:00:00Z","2024-06-06T00:00:00Z"
41,Hepatitis A,Hepatitis A,La hepatitis A es una inflamación del hígado debida al virus de la hepatitis A (VHA) que se propaga principalmente cuando una persona no infectada (y no vacunada) ingiere agua o alimentos contaminados por heces de una persona infectada.,4,https://www.ecosur.mx/wp-content/uploads/2024/04/1140-hepatitis-a-esp.jpg,"{1,4}","2024-06-06T00:00:00Z","2024-06-06T00:00:00Z"
